id,category,intent,title,text,answer,important_information,keywords
1,Order Tracking,track_order,Track Order,Where is my order?,Use your order tracking page or open the tracking link sent after dispatch. Enter your order ID to see the latest shipment status.,order_id,where is my order
2,Order Tracking,track_order,Track Order,How can I track my package?,Use the shipment tracking link from your dispatch message. Your order ID or tracking number is the key information needed to locate the package.,order_id,how can i track my package
3,Order Tracking,track_order,Track Order,Can I check where my parcel is?,Yes. Open the tracking link associated with the order and check the latest carrier scan. Keep your order ID ready if support assistance is needed.,order_id,can i check where my parcel is
4,Order Tracking,track_order,Track Order,I want to know the current location of my order.,The latest location is available through the shipment tracking page after dispatch. Search using the order ID or tracking number.,order_id,i want to know the current location of my order
5,Order Tracking,track_order,Track Order,Where can I see my shipment status?,You can see shipment status in the order tracking section. The order ID identifies the correct shipment.,order_id,where can i see my shipment status
6,Order Tracking,track_order,Track Order,How do I find my delivery tracking information?,Open the tracking link provided after the order was dispatched. The order ID or tracking number can be used to identify the shipment.,order_id,how do i find my delivery tracking information
7,Order Tracking,track_order,Track Order,My parcel is on the way. How do I follow it?,Track the parcel using the carrier tracking link in your dispatch notification. Use the order ID when contacting support.,order_id,my parcel is on the way how do i follow it
8,Order Tracking,track_order,Track Order,Is there a way to check my order online?,Yes. Open your orders section and select the order to view its current status and tracking details.,order_id,is there a way to check my order online
9,Order Tracking,delayed_order,Delayed Order,My order is delayed.,"Check the latest carrier update first. If the promised delivery date has passed, contact support with the order ID so the shipment can be investigated.","order_id, promised_date",my order is delayed
10,Order Tracking,delayed_order,Delayed Order,Why has my package not arrived yet?,"A delivery can be delayed because of carrier processing, weather, or operational issues. Check tracking and provide the order ID if the promised date has passed.",order_id,why has my package not arrived yet
11,Order Tracking,delayed_order,Delayed Order,My delivery is late. What should I do?,"Review the shipment status and expected delivery date. If the date has passed, support can investigate the shipment using the order ID.","order_id, expected_date",my delivery is late what should i do
12,Order Tracking,delayed_order,Delayed Order,The delivery date has passed.,"When the promised date has passed, check the latest tracking event and contact support with your order ID for further investigation.","order_id, promised_date",the delivery date has passed
13,Order Tracking,delayed_order,Delayed Order,My parcel is stuck in transit.,A shipment may remain at one carrier facility for some time. Check the tracking event and contact support with the order ID if there is no movement after the expected date.,order_id,my parcel is stuck in transit
14,Order Tracking,delayed_order,Delayed Order,Why is my delivery taking so long?,The shipment may be delayed by carrier or operational issues. Track the order and share the order ID if the delay continues.,order_id,why is my delivery taking so long
15,Order Tracking,delayed_order,Delayed Order,The courier has not delivered my order yet.,"Check the latest tracking scan. If delivery is overdue, provide the order ID to support for investigation.",order_id,the courier has not delivered my order yet
16,Order Tracking,delayed_order,Delayed Order,My package should have arrived yesterday.,"Check the current tracking status first. If the promised date was yesterday and delivery has not occurred, support can investigate using the order ID.","order_id, promised_date",my package should have arrived yesterday
17,Order Tracking,delivery_estimate,Delivery Estimate,When will my order arrive?,The estimated delivery date is shown in the order details and tracking page. Delivery estimates can change after dispatch.,"order_id, delivery_date",when will my order arrive
18,Order Tracking,delivery_estimate,Delivery Estimate,What is the expected delivery date?,Open the order details to view the current estimated delivery date. The tracking page provides the latest carrier update.,order_id,what is the expected delivery date
19,Order Tracking,delivery_estimate,Delivery Estimate,How long will delivery take?,Delivery time depends on the shipping method and destination. The order page shows the current expected delivery date.,"order_id, destination",how long will delivery take
20,Order Tracking,delivery_estimate,Delivery Estimate,When can I expect my parcel?,Check the estimated delivery date in the order details or tracking page. The date may update after dispatch.,order_id,when can i expect my parcel
21,Order Tracking,delivery_estimate,Delivery Estimate,Can you tell me the delivery ETA?,The latest delivery estimate is available in the tracking details. Use the order ID to locate the shipment.,order_id,can you tell me the delivery eta
22,Order Tracking,delivery_estimate,Delivery Estimate,How many days until my package arrives?,The delivery estimate depends on destination and shipping method. Check your order page for the current expected date.,order_id,how many days until my package arrives
23,Order Tracking,delivery_estimate,Delivery Estimate,Is my order arriving today?,The latest carrier tracking event and delivery estimate indicate whether the parcel is scheduled for delivery today.,order_id,is my order arriving today
24,Order Tracking,delivery_estimate,Delivery Estimate,When should I expect delivery?,The order details show the current delivery estimate. Tracking becomes more precise after the shipment is dispatched.,order_id,when should i expect delivery
25,Order Tracking,delivered_not_received,Delivered Not Received,My order says delivered but I did not get it.,"Check nearby delivery locations, household members, and the carrier proof of delivery. If the package is still missing, contact support with the order ID.","order_id, delivery_status",my order says delivered but i did not get it
26,Order Tracking,delivered_not_received,Delivered Not Received,The tracking says delivered but my parcel is missing.,"First check the delivery location and nearby safe places. If it is still missing, report the issue with your order ID.",order_id,the tracking says delivered but my parcel is missing
27,Order Tracking,delivered_not_received,Delivered Not Received,Courier marked my package delivered but I have nothing.,"Verify the delivery address and nearby locations, then contact support with the order ID if the parcel cannot be found.",order_id,courier marked my package delivered but i have nothing
28,Order Tracking,delivered_not_received,Delivered Not Received,"It shows delivered, where is my package?","Review the carrier delivery details and check with others at the address. If unresolved, provide the order ID to support.",order_id,it shows delivered where is my package
29,Order Tracking,delivered_not_received,Delivered Not Received,I never received an order that says delivered.,Check whether someone else accepted it and review the carrier proof of delivery. Escalate with the order ID if it remains missing.,order_id,i never received an order that says delivered
30,Order Tracking,delivered_not_received,Delivered Not Received,My parcel is marked delivered incorrectly.,"Check the delivery scan and nearby safe locations. If the parcel is not found, report it using the order ID.",order_id,my parcel is marked delivered incorrectly
31,Order Tracking,delivered_not_received,Delivered Not Received,The app says delivered but no package is here.,"Check with household members and the delivery location. If the package remains missing, contact support with the order ID.",order_id,the app says delivered but no package is here
32,Order Tracking,delivered_not_received,Delivered Not Received,Delivered status but package not received.,Please check the delivery location and carrier details. Support can investigate the shipment when you provide the order ID.,order_id,delivered status but package not received
33,Returns,return_request,Return Request,I want to return my product.,"Start a return from the order details, select the item, choose a return reason, and follow the pickup or drop-off instructions.","order_id, return_reason",i want to return my product
34,Returns,return_request,Return Request,How can I return an item?,"Open the order, select the item to return, choose the return reason, and submit the return request.","order_id, return_reason",how can i return an item
35,Returns,return_request,Return Request,I need to send my product back.,Use the return option in your order details. The system will guide you through the return request and pickup or drop-off process.,order_id,i need to send my product back
36,Returns,return_request,Return Request,Can I return what I purchased?,Check the item's return eligibility in the order details and submit a return request when eligible.,"order_id, return_reason",can i return what i purchased
37,Returns,return_request,Return Request,Where do I start a return?,"Go to your orders, select the relevant item, and choose the return option. Provide the return reason when requested.",order_id,where do i start a return
