query_id,query,expected_category,expected_intent
1,Where's my parcel?,Order Tracking,track_order
2,How can I see my order location?,Order Tracking,track_order
3,Track my package please.,Order Tracking,track_order
4,I want the latest status of my shipment.,Order Tracking,track_order
5,Can I follow my delivery?,Order Tracking,track_order
6,Where is my package right now?,Order Tracking,track_order
7,Show me my order tracking information.,Order Tracking,track_order
8,How do I know where my order is?,Order Tracking,track_order
9,My package is late.,Order Tracking,delayed_order
10,Why is my order delayed?,Order Tracking,delayed_order
11,The courier missed the promised date.,Order Tracking,delayed_order
12,My delivery is overdue.,Order Tracking,delayed_order
13,The parcel has not moved.,Order Tracking,delayed_order
14,What can I do about a late shipment?,Order Tracking,delayed_order
15,My order was supposed to arrive already.,Order Tracking,delayed_order
16,The delivery is taking longer than expected.,Order Tracking,delayed_order
17,What date will my package arrive?,Order Tracking,delivery_estimate
18,Give me my delivery estimate.,Order Tracking,delivery_estimate
19,When should the parcel reach me?,Order Tracking,delivery_estimate
20,How long before my order arrives?,Order Tracking,delivery_estimate
21,Can I know the expected delivery date?,Order Tracking,delivery_estimate
22,Is the shipment arriving today?,Order Tracking,delivery_estimate
23,What is my order ETA?,Order Tracking,delivery_estimate
24,Tell me when my package should arrive.,Order Tracking,delivery_estimate
25,Tracking says delivered but I don't have it.,Order Tracking,delivered_not_received
26,My parcel shows delivered and is missing.,Order Tracking,delivered_not_received
27,"The courier says delivered, but where is my order?",Order Tracking,delivered_not_received
28,I did not receive the package marked delivered.,Order Tracking,delivered_not_received
29,Delivered status is wrong.,Order Tracking,delivered_not_received
30,The delivery was marked complete but nothing arrived.,Order Tracking,delivered_not_received
31,My order says delivered but nobody here got it.,Order Tracking,delivered_not_received
32,Where is the parcel that was supposedly delivered?,Order Tracking,delivered_not_received
33,I need to return something.,Returns,return_request
34,How do I send my purchase back?,Returns,return_request
35,Start a return for my order.,Returns,return_request
36,"I don't want this product anymore, can I return it?",Returns,return_request
37,Please help me return an item.,Returns,return_request
38,What is the process for returning a product?,Returns,return_request
39,I want my item picked up for return.,Returns,return_request
40,I need to send this product back.,Returns,return_request
41,Can this item be returned?,Returns,return_eligibility
42,Am I still within the return period?,Returns,return_eligibility
43,Is an opened item returnable?,Returns,return_eligibility
44,Can I return a used product?,Returns,return_eligibility
45,What are the return eligibility rules?,Returns,return_eligibility
46,How many days do I have to return this?,Returns,return_eligibility
47,Will you accept this damaged product back?,Returns,return_eligibility
48,Does this order qualify for a return?,Returns,return_eligibility
49,I want a different size.,Returns,exchange_request
50,Can I exchange my item?,Returns,exchange_request
51,I need to replace this with another size.,Returns,exchange_request
52,How do I swap this product?,Returns,exchange_request
53,Can I change the color?,Returns,exchange_request
54,I want another variant.,Returns,exchange_request
55,Can I get an exchange instead of a refund?,Returns,exchange_request
56,"The size is wrong, how can I exchange it?",Returns,exchange_request
